SeisThick(m),Devonian(m),Wabiskaw(m)
2.552,177.534,352.036
2.62,148.278,340.328
2.242,126.224,322.244
1.993,116.895,302.792
2.781,129.945,309.042
3.037,147.52,294.017
2.959,150.859,257.617
2.75,157.702,242.37
3.089,166.062,247.424
3.184,176.51,253.132
3.135,183.688,258.323
2.39,181.149,260.902
1.939,176.458,241.823
2.357,176.009,269.016
2.606,182.076,270.958
2.214,186.367,274.928
2.379,186.423,295.07
0.752,88.616,194.597
0.807,85.663,192.818
0.963,86.737,200.952
1.271,83.447,194.388
0.94,70.993,189.951
0.763,67.162,189.231
0.671,81.941,188.74
0.628,98.169,207.612
0.562,113.7,210.491
0.523,112.868,202.513
0.388,103.265,203.889
0.32,79.034,191.762
0.271,86.125,194.23
0.246,66.912,176.505
0.241,73.147,182.1
0.331,89.272,194.826
0.38,111.884,177.807
0.388,120.459,181.18
0.306,112.136,178.403
0.349,114.834,174.638
0.302,123.974,150.931
0.395,135.749,170.745
0.558,144.407,168.69
0.554,152.389,177.452
0.506,155.237,187.183
0.521,151.818,195.102
0.651,160.264,207.049
0.675,162.157,200.827
0.641,158.513,205.944
0.737,142.4,205.211
0.665,143.539,203.493
0.389,115.416,208.35
0.35,112.028,218.555
0.45,124.813,224.076
0.357,89.72,221.8
0.38,115.405,220.862
0.324,103.959,214.347
0.396,107.266,214.084
0.478,100.613,204.202
0.451,78.636,192.399
0.359,63.588,186.3
0.37,84.772,185.13
0.486,105.846,180.021
0.395,109.725,194.085
0.396,87.925,205.215
0.541,106.338,209.449
0.822,89.598,231.933
0.76,78.3,219.418
0.533,78.872,207.194
0.485,73.965,215.739
0.406,116.895,235.905
0.451,144.554,273.162
0.394,148.31,262.033
0.349,153.027,262.028
0.353,146.252,259.541
0.223,129.849,232.659
0.139,133.998,224.915
0.11,125.578,201.98
0.121,121.954,200.879
0.136,125.809,203.315
0.231,132.8,217.706
0.283,115.517,226.73
0.272,106.536,218.025
0.326,94.256,230.537
0.409,113.975,227.486
0.395,114.333,233.165
0.395,110.403,223.887
0.392,144.739,230.787
0.394,166.711,241.928
0.392,178.936,242.089
0.382,176.683,227.548
0.528,175.646,216.909
0.456,170.11,203.937
0.516,174.935,218.48
0.485,150.595,212.55
0.363,152.622,211.523
0.448,148.274,217.24
0.496,142.518,205.8
0.523,137.522,187.086
0.411,118.407,190.695
0.355,113.874,197.17
0.374,101.793,200.935
0.29,88.809,206.362
0.351,105.654,227.443
0.456,104.019,234.978
0.448,97.776,247.255
0.504,109.776,240.697
0.445,62.786,247.07
0.66,63.892,261.948
0.568,84.469,255.464
0.514,78.802,244.21
0.615,68.476,264.507
0.555,73.761,248.39
0.499,86.049,240.706
0.656,89.273,241.875
0.539,68.196,215.607
0.564,79.047,212.908
0.624,100.747,216.386
0.584,123.076,213.203
0.657,125.765,194.949
0.763,133.809,205.678
1.007,143.879,214.045
0.834,153.6,215.717
0.654,155.145,218.898
0.754,156.588,235.682
0.575,170.741,251.177
0.275,164.025,248.535
0.36,166.864,263.149
0.375,173.401,272.116
0.291,170.98,272.882
0.288,182.091,282.336
0.311,189.765,273.667
0.277,197.664,261.075
0.275,198.622,247.381
0.357,191.458,235.776
0.352,198.127,240.261
0.318,199.345,248.251
0.303,193.152,239.143
0.335,196.957,236.13
0.367,192.859,224.454
0.506,190.886,217.55
0.52,205.45,234.759
0.374,191.755,239.743
0.394,175.238,238.546
0.396,167.68,244.334
0.349,141.758,242.461
0.377,131.133,240.464
0.404,128.882,235.518
0.411,116.676,219.314
0.393,109.802,224.269
0.551,118.851,220.121
0.503,112.659,234.451
0.576,103.006,240.674
0.617,89.342,243.143
0.805,107.331,254.61
1.128,107.965,249.089
1.139,89.517,258.115
1.321,124.908,289.302
1.224,124.808,275.485
0.856,130.325,274.098
1.343,148.533,297.814
1.48,153.72,289.244
1.637,162.656,289.519
1.725,155.886,282.598
1.769,159.033,285.973
1.968,166.696,269.688
1.904,183.632,264.535
1.498,182.956,258.508
1.963,188.864,263.697
2.352,191.901,265.182
2.075,198.486,264.079
2.031,177.555,264.555
1.875,177.481,258.281
1.633,174.405,247.982
1.443,168.709,232.328
1.881,169.816,235.145
2.364,187.225,248.981
2.475,201.286,257.236
2.359,198.87,246.487
2.511,197.887,238.475
2.595,208.41,239.612
2.822,200.814,237.028
2.784,191.955,239.567
3.034,203.477,241.044
2.598,214.113,248.886
2.362,210.22,262.002
1.765,215.405,248.789
1.888,220.184,256.926
1.91,215.229,262.132
1.706,210.027,264.516
1.648,204.231,277.992
1.59,216.203,285.92
1.298,216.801,272.266
1.41,219.172,275.005
1.321,200.746,274.196
1.044,215.044,294.82
0.979,220.597,301.144
1.048,216.112,306.446
0.912,212.192,325.285
0.985,208.542,330.846
1.639,197.9,352.987
2.123,187.159,360.616
2.435,180.336,345.446
2.348,165.969,331.852
2.587,140.381,312.875
2.471,124.368,296.447
2.683,114.009,300.469
2.705,124.706,308.917
2.997,148.509,294.317
3.21,152.324,272.452
3.195,149.371,264.677
3.082,155.291,262.514
3.181,157.945,257.181
3.193,180.938,263.341
2.623,174.838,257.469
2.139,162.431,258.197
2.079,175.627,266.241
2.375,174.33,271.399
2.369,170.785,265.437
2.395,174.463,288.112
0.681,86.92,180.847
0.795,84.949,176.706
1.106,81.143,186.022
1.105,85.359,191.428
0.861,70.335,201.399
0.772,65.21,200.868
0.635,85.008,194.349
0.788,100.947,217.11
0.662,113.026,214.227
0.505,102.922,208.74
0.368,121.826,205.79
0.366,113.376,217.478
0.272,105.984,213.052
0.288,86.32,201.306
0.233,91.419,200.959
0.242,84.334,194.543
0.302,114.959,189.067
0.32,117.816,170.529
0.367,103.9,171.233
0.383,120.008,175.154
0.335,124.645,174.963
0.36,130.164,171.038
0.524,145.631,174.149
0.559,156.793,178.081
0.509,153.062,188.58
0.516,157.484,200.904
0.564,160.898,212.36
0.534,141.685,204.986
0.68,135.665,216.416
0.648,130.017,212.63
0.515,150.579,217.276
0.495,140.36,221.839
0.473,111.914,231.943
0.519,106.436,231.908
0.386,93.378,213.278
0.306,85.322,214.258
0.303,101.735,209.548
0.365,86.779,203.907
0.393,84.894,186.511
0.358,70.153,182.51
0.347,50.338,169.729
0.416,78.137,177.99
0.508,85.972,184.527
0.522,85.781,187.247
0.537,88.1,207.567
0.564,106.491,215.59
0.672,90.398,204.165
0.699,87.165,215.047
0.454,93.472,217.849
0.317,88.446,204.154
0.389,121.785,217.823
0.306,127.64,231.365
0.393,152.331,253.255
0.264,145.365,242.155
0.256,136.665,242.012
0.273,130.35,218.016
0.137,130.169,200.971
0.078,137.247,186.506
0.079,129.994,199.884
0.095,129.873,194.505
0.194,129.441,206.535
0.282,116.505,217.61
0.216,108.089,217.685
0.275,103.233,230.486
0.349,134.476,256.889
0.318,133.979,219.727
0.356,125.663,215.908
0.399,150.669,235.008
0.348,148.556,220.865
0.372,177.63,240.514
0.359,180.816,227.994
0.396,176.49,218.803
0.564,168.064,215.135
0.627,168.104,215.785
0.648,161.964,206.701
0.508,148.829,214.856
0.564,147.601,225.348
0.478,124.766,205.651
0.626,130.374,219.559
0.642,122.051,206.459
0.585,115.188,218.023
0.455,79.248,202.324
0.586,98.847,215.575
0.55,114.904,234.778
0.588,112.636,240.788
0.551,111.2,247.125
0.618,100.32,257.47
0.393,80.1,253.125
0.564,73.026,263.242
0.587,70.992,254.885
0.513,66.897,248.988
0.572,64.055,265.3
0.564,86.436,258.473
0.523,84.645,248.902
0.475,85.371,236.929
0.501,71.696,230.147
0.549,88.903,219.325
0.647,114.943,219.634
0.873,137.757,228.031
1.106,123.898,219.164
1.172,138.714,215.065
1.109,152.439,217.728
0.928,152.209,224.881
0.877,163.616,237.076
0.781,165.795,246.553
0.68,170.36,257.187
0.443,179.895,269.925
0.363,168.286,261.628
0.32,159.92,247.244
0.257,170.429,253.44
0.199,185.856,269.319
0.199,193.55,261.48
0.216,188.398,230.653
0.229,194.053,227.742
0.297,193.227,228.704
0.378,200.976,235.024
0.351,194.982,232.547
0.269,193.448,221.82
0.302,194.371,219.823
0.348,178.461,209.756
0.514,187.224,217.827
0.645,203.488,231.435
0.485,177.468,239.342
0.389,156.759,241.573
0.326,165.939,247.078
0.393,141.378,249.302
0.42,130.608,233.315
0.479,124.685,240.012
0.453,86.73,227.695
0.508,102.968,220.033
0.622,108.406,234.897
0.527,109.118,228.986
0.597,107.326,239.485
0.82,94.41,249.031
0.993,75.669,248.813
0.911,100.514,248.909
1.07,115.164,246.107
1.228,130.697,264.519
1.303,137.664,264.68
1.19,131.562,267.897
1.648,143.62,274.958
1.675,163.251,282.452
1.646,159.514,270.564
1.9,167.889,280.32
1.873,153.209,273.574
1.715,164.506,257.089
2.106,176.06,257.173
1.822,184.214,266.739
1.543,187.184,257.863
1.833,184.777,251.087
1.985,181.059,248.732
1.98,178.726,258.399
1.922,169.15,249.79
1.816,170.763,244.944
1.957,170.987,235.317
1.935,169.074,234.579
2.51,184.412,250.833
2.561,202.855,244.627
2.567,208.015,245.913
2.69,205.752,243.024
3.087,193.982,237.33
2.688,190.282,236.729
3.139,187.126,239.987
3.006,191.47,241.401
2.683,199.185,241.582
2.397,204.231,241.949
1.647,212.446,241.068
2.008,222.677,250.058
1.805,220.786,253.657
1.64,208.116,254.103
1.422,216.822,270.255
1.64,225.051,297.585
1.518,217.862,281.884
1.674,215.577,283.307
1.306,215.294,270.169
1.181,215.791,284.672
1.264,215.109,295.368
1.211,217.247,318.245
1.062,217.066,338.426
1.224,191.654,328.495
1.609,198.532,357.21
2.139,183.503,361.723
2.1,176.365,351.974
2.055,163.492,336.629
2.35,124.031,308.493
2.665,127.208,299.644
2.87,129.968,307.676
3.186,122.487,308.731
3.208,144.272,305.299
3.227,138.938,292.55
3.195,129.667,282.943
3.241,139.214,268.86
3.152,148.402,264.743
2.85,155.206,270.873
2.653,152.787,270.53
2.38,146.977,265.146
2.342,145.466,268.094
2.375,154.3,275.87
2.142,170.735,283.518
2.13,158.644,275.707
0.744,87.697,179.34
0.808,103.64,175.937
1.071,100.801,182.626
1.214,90.935,203.755
1.048,104.869,212.034
0.888,94.8,212.782
0.807,106.936,213.72
0.642,103.595,219.364
0.652,131.392,232.662
0.507,130.993,221.241
0.38,139.888,232.912
0.353,140.533,240.792
0.281,141.144,235.115
0.275,130.151,214.493
0.238,104.312,205.499
0.283,106.964,189.858
0.277,113.112,179.35
0.299,118.352,159.597
0.335,119.781,166.47
0.338,114.769,161.938
0.392,124.848,176.213
0.395,138.772,178.182
0.491,146.458,185.579
0.558,152.034,199.283
0.456,137.751,186.943
0.532,152.167,201.651
0.55,167.943,214.444
0.485,166.369,206.733
0.566,142.778,216.902
0.624,137.182,215.909
0.475,143.527,218.886
0.523,139.274,240.464
0.512,123.443,240.434
0.41,88.142,228.367
0.523,100.782,231.951
0.417,89.718,227.587
0.396,95.242,221.698
0.353,73.683,212.535
0.334,69.821,190.999
0.309,60.318,186.346
0.377,47.102,179.077
0.392,70.65,178.702
0.393,64.328,176.399
0.679,76.367,198.266
0.648,85.418,213.42
0.578,86.25,213.396
0.538,79.833,206.67
0.35,76.572,203.334
0.455,78.653,213.447
0.304,86.485,203.504
0.233,115.075,214.034
0.323,126.657,227.532
0.275,142.919,230.967
0.156,143.971,234.406
0.202,133.988,220.376
0.199,152.752,219.332
0.136,136.595,200.668
0.095,139.348,192.553
0.112,137.067,191.76
0.1,130.362,201.194
0.148,140.929,203.459
0.249,129.977,211.622
0.16,129.695,213.137
0.302,127.288,223.191
0.38,148.748,247.06
0.456,145.046,237.313
0.46,151.081,231.211
0.4,152.35,227.878
0.285,135.93,217.94
0.289,174.411,227.513
0.304,169.165,215.801
0.417,180.655,230.842
0.561,176.411,233.516
0.676,170.102,221.349
0.739,152.43,218.358
0.666,148.239,229.808
0.634,136.967,222.039
0.547,138.017,215.687
0.647,129.838,221.835
0.525,133.77,219.17
0.678,118.18,221.854
0.667,135.709,240.469
0.649,112.135,230.134
0.658,113.988,242.307
0.805,117.43,268.917
0.776,112.822,269.046
0.581,100.472,265.314
0.559,98.038,271.259
0.53,85.258,269.138
0.505,62.88,254.667
0.652,62.8,253.707
0.588,77.311,257.976
0.487,65.392,253.18
0.571,70.84,250.477
0.645,82.024,245.132
0.514,86.246,235.046
0.507,96.531,223.437
0.678,127.926,238.023
0.997,138.954,247.074
1.375,130.068,234.815
1.256,162.35,238.315
1.069,153.26,231.288
0.964,152.422,235.722
1,165.495,249.01
0.943,175.615,270.019
0.82,184.913,273.86
0.734,186.957,287.557
0.487,176.601,270.821
0.336,165.925,264.443
0.294,167.812,255.134
0.297,181.344,262.673
0.247,198.401,256.997
0.165,190.663,220.097
0.196,200.05,206.05
0.245,190.675,207.421
0.308,198.162,215.653
0.362,192.566,217.953
0.304,185.142,218.994
0.312,186.971,217.139
0.365,184.418,218.012
0.567,184.463,234.07
0.589,180.038,232.757
0.524,170.273,239.204
0.398,158.551,244.116
0.395,150.466,247.368
0.365,135.791,233.504
0.405,123.494,240.465
0.539,117.302,231.113
0.516,106.82,231.017
0.505,100.411,232.745
0.558,109.035,234.901
0.554,108.78,219.778
0.686,86.654,233.344
0.989,86.527,242.21
1.069,85.901,248.923
0.997,107.101,248.098
1.113,120.628,248.765
1.178,122.183,230.601
0.996,140.203,254.447
1.3,141.239,255.824
1.399,135.998,264.576
1.683,164.89,274.52
1.949,172.102,272.613
1.929,169.25,270.148
1.513,168.294,257.852
1.426,168.007,249.228
1.58,176.391,257.084
1.658,181.954,252.561
1.517,183.58,252.209
1.591,181.064,239.223
2.044,175.187,233.59
2.352,179.012,257.292
1.989,181.173,252.81
1.944,175.76,249.36
1.988,162.37,241.876
2.453,177.094,249.144
2.612,181.109,248.678
2.419,197.688,245.397
2.413,212.55,242.55
3.13,187.203,248.784
2.693,196.949,247.574
2.875,186.608,241.965
2.823,180.788,239.395
3.193,174.62,237.58
3.146,191.817,247.968
2.655,200.869,245.824
2.142,208.114,244.74
1.935,215.681,247.514
1.803,215.862,256.802
1.477,216.209,265.056
1.598,209.708,265.831
1.854,223.866,279.906
1.442,218.411,268.137
1.602,220.104,289.454
1.261,222.248,288.431
1.54,224.65,291.94
1.584,219.746,306.531
1.414,210.423,318.374
1.247,207.907,351.818
1.244,198.126,336.195
1.36,190.725,361.378
1.868,180.964,362.438
1.966,174.329,351.786
1.841,146.331,334.455
1.954,150.319,320.399
2.538,138.827,320.758
2.648,139.326,340.223
2.888,144.065,328.019
3.215,145.094,309.033
3.354,145.413,301.067
3.252,129.364,299.3
3.21,148.365,294.22
3.211,142.094,289.071
2.963,127.64,284.461
2.373,144.117,287.651
2.14,136.308,282.19
2.337,141.786,292.465
2.268,158.708,303.521
1.968,162.126,287.225
2.33,171.046,307.764
0.662,104.948,189.065
0.772,84.351,201.867
0.809,84.424,204.189
0.991,106.767,204.284
0.864,106.911,217.987
0.834,105.826,218.107
0.874,115.24,229.447
0.648,121.8,235.479
0.559,134.05,240.705
0.498,135.721,245.615
0.557,128.62,257.13
0.513,152.232,265.335
0.374,154.89,243.869
0.276,153.696,218.179
0.234,141.543,212.886
0.202,115.201,186.046
0.279,113.711,178.828
0.288,127.083,178.022
0.326,130.933,171.994
0.294,146.07,183.745
0.336,115.159,178.419
0.381,133.795,178.11
0.458,152.467,194.564
0.365,155.266,192.51
0.386,156.939,200.932
0.475,163.045,204.01
0.409,163.215,203.692
0.513,175.004,225.779
0.584,165.556,232.207
0.557,158.163,219.531
0.566,150.46,237.484
0.494,122.771,236.785
0.523,100.438,247.307
0.469,70.544,229.364
0.474,89.433,239.477
0.441,105.2,217.164
0.549,108.67,222.715
0.391,80.55,205.613
0.322,65.56,203.56
0.306,64.777,194.518
0.32,71.828,187.933
0.466,62.769,184.341
0.556,71.412,188.236
0.606,73.651,189.75
0.688,84.608,205.655
0.538,84.667,213.21
0.516,72.192,211.744
0.392,62.816,206.34
0.506,73.565,224.268
0.308,75.26,217.59
0.264,90.486,205.369
0.285,128.364,216.23
0.301,145.728,217.895
0.195,141.355,204.878
0.183,147.536,206.871
0.184,158.072,203.597
0.109,164.493,201.767
0.159,151.611,186.864
0.197,141.27,193.346
0.196,140.933,200.87
0.182,157.508,209.677
0.184,150.579,213.342
0.276,150.569,217.586
0.348,155.423,235.046
0.392,135.741,238.941
0.399,137.213,242.045
0.367,138.057,227.469
0.338,151.244,218.861
0.262,143.774,217.407
0.35,162.298,219.459
0.289,166.266,203.373
0.489,170.565,222.202
0.637,179.672,237.211
0.7,176.724,241.48
0.8,151.178,240.494
0.884,150.719,235.085
0.825,130.602,232.299
0.997,120.528,234.844
0.889,117.111,229.398
0.776,124.741,240.988
0.774,118.296,234.752
0.778,128.444,247.719
0.783,119.858,248.822
0.796,102.537,247.416
0.809,100.55,262.112
0.724,87.753,266.633
0.57,100.884,263.511
0.636,107.007,273.517
0.649,86.091,263.282
0.522,105.094,257.833
0.544,100.079,254.603
0.522,91.638,247.16
0.523,78.705,251.151
0.365,63.603,224.213
0.373,62.19,224.223
0.393,86.226,225.306
0.509,100.246,224.286
0.689,115.297,232.648
0.942,135.665,234.776
1.355,144.524,248.843
1.575,170.684,269.205
1.511,168.773,264.518
1.245,156.258,256.779
1.317,160.905,279.631
1.191,176.447,307.485
0.881,183.547,306.412
0.704,176.403,292.907
0.524,172.407,281.268
0.454,169.817,279.624
0.478,174.816,276.245
0.366,183.565,274.319
0.231,181.298,238.273
0.141,191.734,219.825
0.17,185.499,203.351
0.276,185.62,201.472
0.39,183.256,214.806
0.408,173.426,212.927
0.394,172.51,214.546
0.36,174.087,205.491
0.406,176.433,224.719
0.455,152.992,217.455
0.473,173.258,221.706
0.511,171.237,220.617
0.403,143.181,215.63
0.414,145.862,234.822
0.456,128.571,234.369
0.368,121.266,232.281
0.582,118.535,234.741
0.524,88.432,234.929
0.405,85.209,228.954
0.396,106.975,218.253
0.668,108.1,229.173
0.687,78.001,227.495
0.969,87.899,246.981
1.218,85.115,250.227
1.191,113.993,251.05
1.188,124.09,240.524
0.93,134.149,237.016
1.104,153.419,252.432
0.975,142.894,243.679
1.202,153.486,275.611
1.484,148.644,264.149
1.585,171.631,269.934
1.31,168.295,247.181
0.983,168.284,247.122
1.171,174.502,250.251
1.358,175.633,256.81
1.8,180.682,258.335
1.814,175.583,240.35
1.861,179.923,230.402
2.178,177.868,242.583
2.377,168.424,253.631
2.121,177.003,247.347
2.043,156.279,255.309
2.365,151.847,251.292
2.514,152.583,249.01
2.683,163.138,249.109
2.681,166.314,249.436
2.681,166.611,247.372
2.682,169.157,256.934
2.589,175.794,243.818
2.687,169.214,241.973
2.693,168.355,241.146
2.895,178.693,247.196
2.805,180.929,241.551
2.67,203.889,252.216
2.613,207.007,252.403
2.509,213.096,254.735
2.349,212.073,258.317
1.835,212.246,269.087
1.809,219.213,271.218
1.64,224.221,261.003
1.639,222.582,265.307
1.349,219.438,271.347
1.588,216.545,282.695
1.889,219.475,298.641
1.821,216.795,317.76
1.524,209.408,317.827
1.471,211.217,334.702
1.359,204.063,351.666
1.64,176.723,320.177
2.096,183.225,355.616
1.825,173.321,337.372
1.971,143.974,335.731
1.759,162.056,341.379
1.931,143.663,325.936
2.373,152.004,328.463
3.045,157.524,325.403
3.193,151.889,307.045
3.343,141.617,321.589
3.35,132.666,318.711
3.297,135.688,301.004
3.172,134.436,292.375
3.104,125.663,279.741
2.624,124.951,274.009
2.075,141.176,271.083
2.369,152.127,301.144
2.227,160.869,317.985
2.143,158.273,295.161
1.947,162.405,310.678
0.663,71.135,194.2
0.832,101.3,206.058
0.881,90.931,219.292
0.807,87.877,207.851
0.808,103.816,231.421
0.799,93.855,228.151
0.824,107.239,234.795
0.65,114.93,234.955
0.546,142.589,243.849
0.411,136.923,240.953
0.395,134.484,247.116
0.348,144.843,253.517
0.367,148.578,247.296
0.286,149.979,234.649
0.199,146.633,206.626
0.19,128.842,194.102
0.187,115.656,186.889
0.236,127.716,178.413
0.274,130.239,188.637
0.277,135.46,181.398
0.244,140.641,181.615
0.342,142.716,180.198
0.366,144.549,194.223
0.364,137.396,189.652
0.387,149.061,210.294
0.396,152.359,215.169
0.366,170.534,215.627
0.396,170.142,215.781
0.556,169.431,230.879
0.673,153.32,224.12
0.569,157.589,218.731
0.458,134.302,217.75
0.453,104.892,221.08
0.431,102.783,220.398
0.502,108.52,219.809
0.451,103.585,217.647
0.542,84.787,219.649
0.454,65.744,202.578
0.332,54.728,189.496
0.269,61.218,183.314
0.466,62.234,192.245
0.478,54.85,201.494
0.499,60.83,201.3
0.624,64.731,203.381
0.617,72.372,208.135
0.472,68.086,215.544
0.345,70.117,212.897
0.343,56.276,207.006
0.329,64.121,221.37
0.278,82.637,234.11
0.275,107.018,221.367
0.269,126.343,219.667
0.303,140.598,203.357
0.233,155.357,205.009
0.194,143.408,213.433
0.136,158.072,200.883
0.135,165.665,197.912
0.112,163.691,185.869
0.22,137.334,186.411
0.208,139.506,196.211
0.229,143.815,204.76
0.233,144.878,211.746
0.347,136.661,222.998
0.372,145.268,219.311
0.344,142.378,227.432
0.391,146.048,227.617
0.408,144.599,235.336
0.407,152.456,239.441
0.409,154.088,243.338
0.495,168.4,237.92
0.558,169.181,230.107
0.544,170.677,245.464
0.716,179.565,251.967
0.825,181.132,262.092
0.651,158.672,246.888
0.863,134.512,251.112
1.069,125.394,247.548
0.895,124.885,235.061
0.808,111.042,235.27
0.844,121.49,241.93
0.876,109.033,232.014
0.989,130.334,262.019
0.858,130.694,270.367
0.878,114.575,264.497
0.808,79.273,260.776
0.853,91.319,264.629
0.651,88.789,248.881
0.682,109.625,261.9
0.638,85.206,253.244
0.548,86.465,249.084
0.522,114.888,244.09
0.507,106.074,240.965
0.577,82.611,247.133
0.523,78.639,241.449
0.428,76.953,233.584
0.384,72.157,214.067
0.495,71.301,226.51
0.678,87.706,230.668
0.934,111.534,234.255
1.136,148.504,258.367
1.572,152.824,275.277
1.584,173.945,290.73
1.64,156.588,292.082
1.152,158.82,301.128
1.099,166.185,321.479
0.983,176.956,320.321
0.706,174.907,292.047
0.502,162.843,283.004
0.586,170.927,292.001
0.522,159.106,284.146
0.369,176.765,259.801
0.336,186.85,246.114
0.273,171.515,218.865
0.28,183.755,203.477
0.339,170.718,200.829
0.456,159.445,201.915
0.472,166.324,211.965
0.525,167.236,220.954
0.491,167.821,217.37
0.413,163.424,219.465
0.396,152.324,217.903
0.427,149.462,219.039
0.449,150.61,215.242
0.456,145.225,215.721
0.509,130.429,219.402
0.361,118.755,217.904
0.476,114.766,235.331
0.523,107.289,235.759
0.524,79.979,232.074
0.403,100.758,223.398
0.563,136.262,233.65
0.74,113.244,234.942
0.776,80.039,221.883
0.775,67.668,227.541
1.002,85.769,243.529
0.958,94.881,245.952
1.019,80.198,235.246
1.067,121.328,236.149
1.024,127.159,235.264
1.191,145.96,249.004
1.194,136.041,250.173
1.202,150.367,249.409
1.153,163.424,257.749
0.931,168.289,235.695
0.887,177.073,232.687
0.901,168.948,234.876
1.199,175.723,240.081
1.436,176.077,253.368
1.962,176.083,251.9
2.099,175.573,253.122
2.136,159.426,250.708
2.359,164.937,261.621
2.398,153.413,261.805
2.566,137.796,261.879
2.696,127.458,265.318
2.688,136.758,264.502
2.771,137.682,268.677
2.651,126.217,248.885
2.68,101.826,248.681
2.605,118.489,244.096
2.49,130.469,242.597
2.591,145.483,249.502
2.687,159.642,243.51
2.842,176.333,253.373
2.671,191.353,256.123
2.836,208.167,262.05
2.672,198.43,257.682
2.604,199.485,258.118
2.48,209.076,263.189
1.885,211.66,285.009
2.247,218.435,283.073
1.952,220.052,263.214
1.668,221.151,269.769
1.657,220.526,273.969
1.821,215.615,308.355
1.696,213.665,307.225
1.643,212.531,300.405
1.851,208.168,302.861
1.654,193.857,294.36
1.623,205.654,309.275
1.672,187.211,312.912
2.318,183.503,340.493
2.126,176.641,329.452
2.342,159.408,344.984
1.791,162.745,324.96
2.015,163.32,313.99
2.501,160.582,323.736
3.116,168.815,323.484
3.181,163.739,319.798
3.339,156.55,337.175
3.298,148.282,319.757
3.302,140.891,318.836
3.194,125.888,310.424
3.105,119.558,305.055
2.575,125.403,284.762
1.959,121.501,282.564
2.265,133.934,294.558
2.063,165.911,318.738
1.693,152.622,306.604
1.843,158.572,307.175
0.787,85.522,211.821
0.787,103.438,213.389
0.813,98.154,215.933
0.794,87.998,214.23
0.777,82.515,224.718
0.834,96.042,235.825
0.656,116.546,234.032
0.591,104.097,222.48
0.511,121.392,235.866
0.503,152.328,250.664
0.381,139.33,235.129
0.313,132.099,241.025
0.345,152.331,235.094
0.351,136.97,220.333
0.303,129.307,205.647
0.237,128.215,201.614
0.187,103.092,179.382
0.191,115.094,181.138
0.135,115.143,178.125
0.221,130.374,186.703
0.24,130.152,181.187
0.293,131.74,185.614
0.326,143.09,195.853
0.336,140.06,189.944
0.345,136.777,201.922
0.396,152.417,219.855
0.482,175.219,234.579
0.382,166.223,214.973
0.477,166.226,212.523
0.514,163.267,217.238
0.648,154.838,215.139
0.58,134.45,218.018
0.519,122.95,212.066
0.562,102.358,218.044
0.526,106.946,221.472
0.523,86.658,219.753
0.462,79.877,205.087
0.375,71.974,203.211
0.265,54.013,181.038
0.323,70.215,188.597
0.313,60.182,198.923
0.393,62.417,200.029
0.555,56.336,203.571
0.553,78.129,213.824
0.558,61.611,205.052
0.478,62.157,214.132
0.397,68.618,215.841
0.312,62.91,225.039
0.284,67.695,224.451
0.249,88.486,223.321
0.199,114.518,223.857
0.204,115.575,205.24
0.275,136.975,200.957
0.233,132.339,188.748
0.213,137.509,188.558
0.103,166.15,178.15
0.244,166.654,185.807
0.285,163.257,192.917
0.285,144.58,188.583
0.322,152.653,206.074
0.269,152.732,206.823
0.311,153.555,215.892
0.349,150.79,221.924
0.348,162.179,213.111
0.35,154.748,218.737
0.379,132.922,218.157
0.307,144.353,218.005
0.334,159.117,227.377
0.459,145.349,234.907
0.424,158.589,240.848
0.609,168.691,239.09
0.643,170.387,251.605
0.668,170.252,253.55
0.824,174.451,261.864
0.805,150.845,276.152
0.957,124.758,267.401
1.015,128.008,267.812
0.824,121.618,247.599
0.934,122.902,256.011
0.881,114.996,243.567
1.049,130.65,253.87
1,112.283,256.53
0.884,92.189,262.033
0.977,69.414,262.064
0.864,82.264,260.93
0.746,93.525,260.449
0.802,86.004,262.508
0.7,101.559,262.137
0.65,101.944,262.273
0.456,85.825,252.013
0.562,97.829,235.667
0.523,98.03,228.091
0.656,83.402,239.233
0.563,85.465,240.438
0.549,87.938,247.559
0.475,64.357,219.1
0.555,67.049,222.527
0.744,79.008,236.524
0.989,108.357,260.423
0.935,136.134,269.971
1.225,137.246,275.795
1.246,152.278,296.703
1.355,165.657,301.256
1.662,155.328,318.453
1.475,153.6,320.82
1.216,162.104,319.082
1.104,156.656,304.696
0.656,157.624,290.7
0.562,170.498,303.255
0.605,167.175,293.521
0.523,174.842,270.554
0.389,178.693,253.668
0.384,174.445,228.97
0.379,169.075,216.033
0.478,152.362,203.387
0.562,155.027,213.135
0.421,142.135,217.958
0.478,140.797,218.013
0.366,166.159,224.414
0.51,151.689,228.816
0.524,139.869,235.504
0.463,130.94,229.044
0.408,130.329,218.819
0.546,151.438,223.333
0.392,136.895,215.68
0.349,129.225,234.608
0.54,118.064,224.174
0.541,100.823,217.915
0.543,107.108,234.829
0.532,106.611,235.95
0.682,110.049,245.735
0.801,118.085,242.485
0.871,100.585,230.775
0.786,68.996,215.346
0.713,68.425,215.324
0.709,97.294,236.702
0.799,68.484,219.634
0.783,90.577,217.802
1.032,114.652,218.453
0.967,124.505,222.985
1.127,121.429,229.323
0.88,136.848,234.962
0.707,165.909,239.5
0.667,181.25,234.698
0.777,177.557,221.953
0.953,177.481,230.662
0.979,162.2,235.169
