X,Y,Z,Rock,Land,Cd,Cu,Pb,Co,Cr,Ni,Zn
1.948,1.906,0,3,3,1.298,22.24,45.6,12,49.6,26.04,96.4
1.754,2.672,0,2,3,1.53,16.24,43.6,10.36,46.4,29.8,77.2
2.294,1.83,0,2,2,0.67,8.72,32.76,9.72,46.8,23.24,81.6
2.639,1.755,0,3,1,1.01,5.96,67.36,9.96,28.68,17.44,52.48
1.905,3.363,0,1,3,0.5,16.68,39.76,4.8,23.12,9.36,46.4
2.175,2.942,0,3,2,1.665,37,43.8,14.8,40.28,30.08,87.84
2.791,2.446,0,2,3,1.52,16.32,57.52,9.16,36.2,24.12,84.4
2.866,2.791,0,2,3,1.315,14,45.96,11.2,30.92,24.32,79.08
3.407,1.953,0,2,2,1.325,9.92,38.4,9.12,37.32,24.6,84.08
3.946,1.107,0,2,2,0.495,7.52,33,8.28,33,20.6,48.8
2.452,3.995,0,1,3,0.395,12.72,28.24,3.56,24,5.6,39.64
2.747,3.903,0,1,2,0.38,3.55,21.12,5.44,25.52,11.4,25
3.287,3.061,0,5,3,2.085,39,52.4,13.2,45.92,26.4,104
4.367,1.377,0,5,3,2.61,24,47.2,20.6,37.2,29.4,86.4
4.713,1.302,0,2,3,0.845,10.28,33.64,9.68,29.92,23.8,65.6
4.248,2.489,0,4,1,1.22,5.52,48.8,5.24,27.04,21.04,46.4
3.784,3.677,0,2,1,0.64,6.68,34.32,13.92,28.32,18,55.2
4.324,2.835,0,2,1,1.65,8.88,60,8.72,33.36,22.72,80
3.859,4.022,0,3,3,1.433,43.6,60.8,13.32,47.6,29.12,87.2
2.593,3.312,0,3,3,0.325,8.08,26.2,10.6,30,14,54.96
